id;name;set;buy;current;diff;diffpct
43141;Animate Dead;Premium Deck Series: Graveborn;0,03;None;#¡VALOR!;#¡VALOR!
43123;Buried Alive;Premium Deck Series: Graveborn;0,01;None;#¡VALOR!;#¡VALOR!
43091;Crystal Vein;Premium Deck Series: Graveborn;0,01;None;#¡VALOR!;#¡VALOR!
31564;Jace Beleren;Duel Decks: Jace vs. Chandra;0,46;None;#¡VALOR!;#¡VALOR!
43111;Sphinx of the Steel Wind;Premium Deck Series: Graveborn;0,03;None;#¡VALOR!;#¡VALOR!
43117;Terastodon;Premium Deck Series: Graveborn;0,02;None;#¡VALOR!;#¡VALOR!
43103;Polluted Mire;Premium Deck Series: Graveborn;0,01;None;#¡VALOR!;#¡VALOR!
35358;Terramorphic Expanse;Premium Deck Series: Slivers;0,02;None;#¡VALOR!;#¡VALOR!
52879;Jace, the Mind Sculptor;Vintage Masters;8,77;57,09;48,32;651%
49271;Scavenging Ooze;Magic 2014;2,31;11,96;9,65;518%
55141;Commander's Sphere;Commander 2014;1,59;10,19;8,60;641%
37861;Wurmcoil Engine;Magic Online Promos;5,99;12,89;6,90;215%
42512;Snapcaster Mage;Innistrad;9,42;14,36;4,94;152%
56642;Time Warp;Tempest Remastered;6,31;10,40;4,09;165%
27705;Karplusan Forest;Tenth Edition;0,38;3,97;3,59;1045%
51366;Toxic Deluge;Commander 2013;5,77;8,85;3,08;153%
62653;Baral, Chief of Compliance;Aether Revolt;0,91;3,79;2,88;416%
31417;Damnation;Magic Online Promos;3,30;6,14;2,84;186%
62307;Thrasios, Triton Hero;You Make the Cube;1,66;4,44;2,78;267%
57200;Kozilek, Butcher of Truth;Modern Masters 2015;1,43;3,70;2,27;259%
60977;Maelstrom Wanderer;Eternal Masters;1,01;3,19;2,18;316%
31915;Ancient Ziggurat;Conflux;0,13;2,24;2,11;1723%
26822;Tolaria West;Future Sight;2,02;4,04;2,02;200%
62327;Tymna the Weaver;You Make the Cube;0,51;2,52;2,01;494%
43921;Craterhoof Behemoth;Avacyn Restored;4,85;6,60;1,75;136%
36120;Priest of Titania;Magic Online Promos;0,02;1,64;1,62;8200%
10043;Ancient Tomb;Tempest;3,51;5,11;1,60;146%
25889;Gemstone Caverns;Time Spiral;1,46;3,05;1,59;209%
58949;Ghostly Prison;Legendary Cube;1,33;2,80;1,47;211%
7035;Harbinger of Night;Mirage;0,35;1,77;1,42;506%
60004;The Gitrog Monster;Shadows over Innistrad;0,79;2,18;1,39;276%
42670;Hinterland Harbor;Innistrad;0,21;1,55;1,34;738%
57206;Ulamog, the Infinite Gyre;Modern Masters 2015;1,14;2,47;1,33;217%
50274;Nykthos, Shrine to Nyx;Theros;0,50;1,82;1,32;364%
42652;Isolated Chapel;Innistrad;0,59;1,90;1,31;322%
57202;All Is Dust;Modern Masters 2015;3,25;4,53;1,28;139%
30895;Relic of Progenitus;Shards of Alara;0,49;1,75;1,26;357%
42668;Sulfur Falls;Innistrad;0,61;1,85;1,24;303%
58953;Propaganda;Legendary Cube;0,44;1,65;1,21;375%
62321;Sidar Kondo of Jamuraa;You Make the Cube;0,08;1,26;1,18;1575%
42660;Woodland Cemetery;Innistrad;0,21;1,39;1,18;662%
62275;Selvala, Heart of the Wilds;You Make the Cube;1,30;2,48;1,18;191%
21097;Sakura-Tribe Elder;Champions of Kamigawa;0,04;1,19;1,15;2975%
46423;Detention Sphere;Return to Ravnica;0,60;1,73;1,13;288%
60963;Ashnod's Altar;Eternal Masters;0,72;1,84;1,12;256%
47979;Command Tower;Magic Online Promos;0,03;1,05;1,02;3500%
35737;Stoneforge Mystic;Worldwake;2,88;3,90;1,02;135%
43544;Survival of the Fittest;Magic Online Promos;0,03;1,00;0,97;3333%
31431;Eternal Witness;Magic Online Promos;2,30;3,24;0,94;141%
34542;Oracle of Mul Daya;Zendikar;0,43;1,36;0,93;316%
37388;Preordain;Magic 2011;0,39;1,32;0,93;338%
51851;Courser of Kruphix;Born of the Gods;2,33;3,23;0,90;139%
57350;Blinkmoth Nexus;Modern Masters 2015;1,82;2,68;0,86;147%
52120;Mana Confluence;Journey into Nyx;2,85;3,67;0,82;129%
50306;Thassa, God of the Sea;Theros;1,23;2,05;0,82;167%
51966;Temple of Epiphany;Journey into Nyx;0,99;1,79;0,80;181%
53628;Chasm Skulker;Magic 2015;0,33;1,11;0,78;336%
62301;Akiri, Line-Slinger;You Make the Cube;0,50;1,26;0,76;252%
45312;Rootbound Crag;Magic 2013;0,03;0,79;0,76;2633%
55113;Unstable Obelisk;Commander 2014;0,10;0,85;0,75;850%
58056;Nissa, Vastwood Seer;Magic Origins;1,63;2,37;0,74;145%
54859;Frost Titan;Commander 2014;0,33;1,03;0,70;312%
62317;Reyhan, Last of the Abzan;You Make the Cube;1,15;1,83;0,68;159%
41221;Drowned Catacomb;Magic 2012;0,21;0,87;0,66;414%
43815;Terminus;Avacyn Restored;0,10;0,76;0,66;760%
62325;Tana, the Bloodsower;You Make the Cube;0,13;0,77;0,64;592%
62323;Silas Renn, Seeker Adept;You Make the Cube;0,19;0,82;0,63;432%
21685;Disrupting Shoal;Betrayers of Kamigawa;2,27;2,88;0,61;127%
22655;Shivan Reef;Ninth Edition;0,84;1,44;0,60;171%
22623;Underground River;Ninth Edition;0,94;1,51;0,57;161%
28345;Mosswort Bridge;Lorwyn;0,38;0,93;0,55;245%
62375;Kynaios and Tiro of Meletis;You Make the Cube;0,03;0,58;0,55;1933%
52759;Stroke of Genius;Vintage Masters;0,01;0,53;0,52;5300%
63403;Cyclonic Rift;Modern Masters 2017;0,03;0,53;0,50;1767%
28245;Mulldrifter;Lorwyn;0,05;0,55;0,50;1100%
30979;Tezzeret the Seeker;Shards of Alara;2,20;2,69;0,49;122%
51561;Temple of Enlightenment;Born of the Gods;0,44;0,92;0,48;209%
20551;Skullclamp;Darksteel;0,81;1,29;0,48;159%
7445;Worldly Tutor;Mirage;2,03;2,51;0,48;124%
47767;Prime Speaker Zegana;Gatecrash;1,08;1,52;0,44;141%
63169;Path to Exile;Modern Masters 2017;1,29;1,71;0,42;133%
50314;Nylea, God of the Hunt;Theros;0,50;0,90;0,40;180%
51428;Greed;Commander 2013;1,43;1,82;0,39;127%
51563;Temple of Malice;Born of the Gods;0,37;0,74;0,37;200%
61801;Panharmonicon;Kaladesh;0,17;0,54;0,37;318%
35515;Bojuka Bog;Worldwake;0,04;0,40;0,36;1000%
45578;Krenko, Mob Boss;Magic 2013;0,25;0,61;0,36;244%
58951;Scroll Rack;Legendary Cube;1,78;2,13;0,35;120%
52977;Chaos Warp;Vintage Masters;0,29;0,63;0,34;217%
47805;Thespian's Stage;Gatecrash;0,24;0,58;0,34;242%
43807;Desolate Lighthouse;Avacyn Restored;0,03;0,36;0,33;1200%
41259;Day of Judgment;Magic 2012;0,02;0,35;0,33;1750%
44283;Reforge the Soul;Avacyn Restored;0,46;0,78;0,32;170%
18091;Insurrection;Onslaught;1,17;1,48;0,31;126%
35689;Butcher of Malakir;Worldwake;0,04;0,34;0,30;850%
61460;Eldritch Evolution;Eldritch Moon;0,36;0,65;0,29;181%
55699;Thalia, Guardian of Thraben;Magic Online Promos;0,36;0,65;0,29;181%
44049;Exquisite Blood;Avacyn Restored;0,58;0,86;0,28;148%
42294;Ghost Quarter;Innistrad;0,05;0,32;0,27;640%
46777;Deathrite Shaman;Return to Ravnica;0,86;1,13;0,27;131%
56724;Goblin Bombardment;Tempest Remastered;0,69;0,95;0,26;138%
52765;Gamble;Vintage Masters;0,19;0,45;0,26;237%
41387;Grand Abolisher;Magic 2012;0,50;0,75;0,25;150%
52260;Dictate of Erebos;Journey into Nyx;0,39;0,64;0,25;164%
38307;Myr Battlesphere;Scars of Mirrodin;0,08;0,33;0,25;413%
60779;Maze of Ith;Eternal Masters;2,48;2,70;0,22;109%
10719;Culling the Weak;Exodus;0,04;0,26;0,22;650%
37368;Leyline of Anticipation;Magic 2011;0,48;0,70;0,22;146%
62333;Saskia the Unyielding;You Make the Cube;0,08;0,30;0,22;375%
35822;Comet Storm;Magic Online Promos;0,09;0,29;0,20;322%
54871;Nevinyrral's Disk;Commander 2014;0,09;0,29;0,20;322%
32635;Howling Mine;Magic 2010;0,74;0,94;0,20;127%
62313;Ludevic, Necro-Alchemist;You Make the Cube;0,15;0,33;0,18;220%
45250;Tormod's Crypt;Magic 2013;0,04;0,22;0,18;550%
50268;Temple of Silence;Theros;0,05;0,23;0,18;460%
62165;Champion's Helm;Kaladesh Inventions;0,58;0,75;0,17;129%
36040;Capsize;Magic Online Promos;0,03;0,20;0,17;667%
34758;Sorin Markov;Zendikar;0,48;0,64;0,16;133%
51968;Temple of Malady;Journey into Nyx;0,73;0,89;0,16;122%
18848;Temple of the False God;Scourge;0,12;0,28;0,16;233%
46783;Chromatic Lantern;Return to Ravnica;0,22;0,38;0,16;173%
46789;Angel of Serenity;Return to Ravnica;0,44;0,60;0,16;136%
57668;Caves of Koilos;Magic Origins;0,41;0,56;0,15;137%
43267;Faithless Looting;Dark Ascension;0,05;0,20;0,15;400%
29611;Beseech the Queen;Shadowmoor;0,07;0,22;0,15;314%
27464;Llanowar Wastes;Tenth Edition;0,09;0,23;0,14;256%
25941;Reiterate;Time Spiral;0,02;0,16;0,14;800%
25367;Teferi, Mage of Zhalfir;Time Spiral;0,46;0,60;0,14;130%
60617;Sensei's Divining Top;Eternal Masters;0,53;0,66;0,13;125%
60583;Worn Powerstone;Eternal Masters;0,02;0,15;0,13;750%
39796;Birthing Pod;New Phyrexia;0,75;0,88;0,13;117%
59649;Mother of Runes;Magic Online Promos;0,05;0,18;0,13;360%
35695;Basilisk Collar;Worldwake;0,27;0,40;0,13;148%
48876;City of Brass;Modern Masters;3,01;3,13;0,12;104%
14325;Aura Shards;Invasion;1,37;1,49;0,12;109%
36738;It That Betrays;Rise of the Eldrazi;0,09;0,20;0,11;222%
37855;Doom Blade;Magic Online Promos;0,03;0,14;0,11;467%
44231;Cathars' Crusade;Avacyn Restored;0,14;0,25;0,11;179%
19417;Teferi's Puzzle Box;Eighth Edition;0,30;0,41;0,11;137%
34770;Rite of Replication;Zendikar;0,03;0,13;0,10;433%
52861;Necropotence;Vintage Masters;0,01;0,11;0,10;1100%
51538;Elvish Mystic;Magic Online Promos;0,02;0,12;0,10;600%
52326;Dictate of Kruphix;Magic Online Promos;0,02;0,12;0,10;600%
47743;Aurelia, the Warleader;Gatecrash;0,57;0,66;0,09;116%
50308;Erebos, God of the Dead;Theros;0,97;1,06;0,09;109%
57670;Battlefield Forge;Magic Origins;0,08;0,17;0,09;213%
57042;Profane Command;Modern Masters 2015;0,01;0,10;0,09;1000%
15500;Evacuation;Seventh Edition;0,02;0,11;0,09;550%
41541;Quicksilver Amulet;Magic 2012;0,13;0,22;0,09;169%
42410;Blasphemous Act;Innistrad;0,03;0,12;0,09;400%
20021;Great Furnace;Mirrodin;1,29;1,38;0,09;107%
53245;Wheel of Fortune;Vintage Masters;1,73;1,81;0,08;105%
54935;Caged Sun;Commander 2014;0,97;1,05;0,08;108%
57782;Evolutionary Leap;Magic Origins;0,08;0,16;0,08;200%
50270;Temple of Triumph;Theros;0,05;0,13;0,08;260%
38478;Basalt Monolith;Masters Edition IV;0,25;0,32;0,07;128%
48005;Farseek;Magic Online Promos;0,03;0,10;0,07;333%
54747;Martial Coup;Commander 2014;0,24;0,31;0,07;129%
6855;Charcoal Diamond;Mirage;0,05;0,12;0,07;240%
20840;Grinding Station;Fifth Dawn;0,23;0,30;0,07;130%
41511;Warstorm Surge;Magic 2012;0,01;0,07;0,06;700%
33644;Fellwar Stone;Masters Edition III;0,04;0,10;0,06;250%
38161;Steel Hellkite;Scars of Mirrodin;0,01;0,07;0,06;700%
45060;Fractured Powerstone;Planechase 2012;0,04;0,10;0,06;250%
61857;Inventors' Fair;Kaladesh;0,07;0,13;0,06;186%
42560;Laboratory Maniac;Innistrad;0,02;0,08;0,06;400%
50440;Swan Song;Theros;0,10;0,16;0,06;160%
53019;Karmic Guide;Vintage Masters;0,02;0,08;0,06;400%
29361;Mistveil Plains;Shadowmoor;0,05;0,11;0,06;220%
45568;Disciple of Bolas;Magic 2013;0,06;0,12;0,06;200%
57044;Mirror Entity;Modern Masters 2015;0,23;0,29;0,06;126%
62309;Kraum, Ludevic's Opus;You Make the Cube;0,74;0,79;0,05;107%
57074;Necroskitter;Modern Masters 2015;0,02;0,07;0,05;350%
41487;Jace's Archivist;Magic 2012;0,02;0,07;0,05;350%
60841;Victimize;Eternal Masters;0,02;0,07;0,05;350%
47749;Merciless Eviction;Gatecrash;0,01;0,06;0,05;600%
60795;Duplicant;Eternal Masters;0,01;0,06;0,05;600%
19705;Thirst for Knowledge;Mirrodin;0,13;0,18;0,05;138%
22210;Miren, the Moaning Well;Saviors of Kamigawa;0,14;0,19;0,05;136%
