id,name,url
2005+Player+Cards,2005 Player Cards,https://www.magiccardmarket.eu/Expansions/2005+Player+Cards
2006+Player+Cards,2006 Player Cards,https://www.magiccardmarket.eu/Expansions/2006+Player+Cards
2007+Player+Cards,2007 Player Cards,https://www.magiccardmarket.eu/Expansions/2007+Player+Cards
APAC+Lands,APAC Lands,https://www.magiccardmarket.eu/Expansions/APAC+Lands
Aether+Revolt,Aether Revolt,https://www.magiccardmarket.eu/Expansions/Aether+Revolt
Aether+Revolt%3A+Promos,Aether Revolt: Promos,https://www.magiccardmarket.eu/Expansions/Aether+Revolt%3A+Promos
Alara+Block+All-Foil+Booster,Alara Block All-Foil Booster,https://www.magiccardmarket.eu/Expansions/Alara+Block+All-Foil+Booster
Alara+Reborn,Alara Reborn,https://www.magiccardmarket.eu/Expansions/Alara+Reborn
Alliances,Alliances,https://www.magiccardmarket.eu/Expansions/Alliances
Alpha,Alpha,https://www.magiccardmarket.eu/Expansions/Alpha
Amonkhet,Amonkhet,https://www.magiccardmarket.eu/Expansions/Amonkhet
Amonkhet+Invocations,Amonkhet Invocations,https://www.magiccardmarket.eu/Expansions/Amonkhet+Invocations
Amonkhet%3A+Promos,Amonkhet: Promos,https://www.magiccardmarket.eu/Expansions/Amonkhet%3A+Promos
Anthologies,Anthologies,https://www.magiccardmarket.eu/Expansions/Anthologies
Antiquities,Antiquities,https://www.magiccardmarket.eu/Expansions/Antiquities
Apocalypse,Apocalypse,https://www.magiccardmarket.eu/Expansions/Apocalypse
Arabian+Nights,Arabian Nights,https://www.magiccardmarket.eu/Expansions/Arabian+Nights
Archenemy,Archenemy,https://www.magiccardmarket.eu/Expansions/Archenemy
Archenemy%3A+Nicol+Bolas,Archenemy: Nicol Bolas,https://www.magiccardmarket.eu/Expansions/Archenemy%3A+Nicol+Bolas
Arena+League+Promos,Arena League Promos,https://www.magiccardmarket.eu/Expansions/Arena+League+Promos
Armada+Comics,Armada Comics,https://www.magiccardmarket.eu/Expansions/Armada+Comics
