set,name,foil,ck,mkm
Weatherlight,Abduction,FALSE,"0,05","0,05"
Theros,Abhorrent Overlord,FALSE,"0,08","0,05"
Khans of Tarkir,Abomination of Gudul,TRUE,"0,04","0,04"
Eternal Masters,Abundant Growth,TRUE,"0,07","0,04"
Classic Sixth Edition,Abyssal Hunter,FALSE,"0,08","0,16"
Commander 2016,Abzan Charm,FALSE,"0,07","0,05"
Khans of Tarkir,Abzan Falconer,FALSE,"0,04","0,00"
Urza's Destiny,Academy Rector,FALSE,"16,95","15,75"
Mirrodin Besieged,Accorder Paladin,FALSE,"0,04","0,03"
Magic 2010,Acidic Slime,FALSE,"0,14","0,02"
Magic 2011,Acidic Slime,FALSE,"0,04","0,02"
Magic 2010,Acolyte of Xathrid,TRUE,"0,07","0,05"
Commander 2011,Acorn Catapult,FALSE,"0,38","0,14"
Torment,Acorn Harvest,TRUE,"0,07","0,23"
Fifth Dawn,Acquire,TRUE,"4,24","3,38"
Commander 2013,Act of Authority,FALSE,"0,17","0,09"
Magic 2011,Act of Treason,TRUE,"0,08","0,11"
Magic 2012,Adaptive Automaton,TRUE,"5,59","6,29"
Coldsnap,Adarkar Valkyrie,TRUE,"5,08","9,89"
Ice Age,Adarkar Wastes,FALSE,"2,37","3,33"
Legends,Adun Oakenshield,FALSE,"27,96","36,00"
Dragon's Maze,Advent of the Wurm,FALSE,"0,08","0,13"
Magic 2012,Aegis Angel,TRUE,"0,13","0,62"
Magic 2012,Aegis Angel,FALSE,"0,08","0,14"
Odyssey,Aegis of Honor,FALSE,"0,10","0,32"
Conflux,Aerie Mystics,TRUE,"0,05","0,05"
Aether Revolt,Aether Chaser,TRUE,"0,05","0,02"
Kaladesh,Aether Hub,FALSE,"0,97","0,44"
Kaladesh,Aetherflux Reservoir,TRUE,"2,54","0,63"
Kaladesh,Aetherflux Reservoir,FALSE,"0,17","0,14"
Dragon's Maze,Aetherling,FALSE,"0,08","0,07"
Lorwyn,Aethersnipe,TRUE,"0,08","0,14"
Kaladesh,Aetherworks Marvel,TRUE,"2,54","3,59"
Worldwake,Agadeem Occultist,FALSE,"0,08","0,14"
Theros,Agent of the Fates,FALSE,"0,08","0,08"
Archenemy,Agony Warp,FALSE,"0,04","0,02"
Lorwyn,Ajani Goldmane,FALSE,"4,49","3,59"
Magic 2010,Ajani Goldmane,FALSE,"3,39","3,59"
Shards of Alara,Ajani Vengeant,FALSE,"3,39","4,50"
Journey into Nyx,Ajani's Presence,TRUE,"0,07","0,09"
Commander 2013,Ajani's Pridemate,FALSE,"0,21","0,17"
