edition,name,foil,ck,mkm,seller,available,profit,profitpct
Commander 2017,Kindred Boon,FALSE,0.64,0.55,Mazvigosl,8,0.72,0.16
Commander 2017,Kindred Discovery,FALSE,8.02,7.29,LocalProCards,4,2.92,0.10
Commander 2017,Kindred Discovery,FALSE,8.02,7.32,Galactus-Roma,4,2.80,0.10
Commander 2017,Kindred Discovery,FALSE,8.02,7.10,willybizarre,8,7.36,0.13
Commander 2017,Kindred Discovery,FALSE,8.02,6.93,Kefdachef,2,2.18,0.16
Commander 2017,Kindred Dominance,FALSE,0.64,0.56,Mazvigosl,8,0.64,0.14
Commander 2017,Herald's Horn,FALSE,4.01,3.56,Mazvigosl,8,3.60,0.13
Commander 2017,Herald's Horn,FALSE,4.01,3.52,Cardexchange,4,1.96,0.14
Commander 2017,Herald's Horn,FALSE,4.01,3.33,BB-TradingCards,4,2.72,0.20
Commander 2017,Herald's Horn,FALSE,4.01,3.65,tanjas,4,1.44,0.10
Commander 2017,Herald's Horn,FALSE,4.01,3.45,tiburonapu,2,1.12,0.16
Commander 2017,Herald's Horn,FALSE,4.01,3.29,simselor,4,2.88,0.22
Commander 2017,Herald's Horn,FALSE,4.01,3.64,CardsMania,2,0.74,0.10
Commander 2017,Herald's Horn,FALSE,4.01,3.10,willybizarre,8,7.28,0.29
Commander 2017,Herald's Horn,FALSE,4.01,3.21,Outpostgamecenter,7,5.60,0.25
Commander 2017,Herald's Horn,FALSE,4.01,3.22,MTGWARHAMMER,4,3.16,0.25
Commander 2017,Herald's Horn,FALSE,4.01,3.29,Magicdealer-patte-de,4,2.88,0.22
Commander 2017,Herald's Horn,FALSE,4.01,3.36,SpellVault,4,2.60,0.19
Commander 2017,Herald's Horn,FALSE,4.01,3.06,ThreeForOne-DE,17,16.15,0.31
Commander 2017,Herald's Horn,FALSE,4.01,3.02,Magicdealer-patte-de,8,7.92,0.33
Commander 2017,Herald's Horn,FALSE,4.01,3.05,magic-market,4,3.84,0.31
Commander 2017,Herald's Horn,FALSE,4.01,3.18,Ergoth,2,1.66,0.26
Commander 2017,Herald's Horn,FALSE,4.01,3.46,MysticShop,2,1.10,0.16
Commander 2017,Herald's Horn,FALSE,4.01,3.25,toycastle,4,3.04,0.23
Commander 2017,Herald's Horn,FALSE,4.01,2.90,WizardshopCz,4,4.44,0.38
Commander 2017,Herald's Horn,FALSE,4.01,3.27,Landelor,2,1.48,0.23
Commander 2017,Herald's Horn,FALSE,4.01,3.14,Rarehuntershop,4,3.48,0.28
Commander 2017,Herald's Horn,FALSE,4.01,3.35,DualGames-Alicante,1,0.66,0.20
Commander 2017,Herald's Horn,FALSE,4.01,3.40,General-eXe,1,0.61,0.18
Commander 2017,Herald's Horn,FALSE,4.01,3.63,RichardD,1,0.38,0.10
Commander 2017,Herald's Horn,FALSE,4.01,3.40,victor46,1,0.61,0.18
Commander 2017,Herald's Horn,FALSE,4.01,3.53,Landelor,1,0.48,0.14
Commander 2017,Herald's Horn,FALSE,4.01,3.64,Magicpro1,1,0.37,0.10
Commander 2017,Herald's Horn,FALSE,4.01,3.34,maxime75018,1,0.67,0.20
Commander 2017,Herald's Horn,FALSE,4.01,3.10,RetroMagic,10,9.10,0.29
Commander 2017,Disrupt Decorum,FALSE,1.04,0.86,willybizarre,8,1.44,0.21
Commander 2017,Disrupt Decorum,FALSE,1.04,0.92,DonMTG,8,0.96,0.13
Commander 2017,Disrupt Decorum,FALSE,1.04,0.89,LocalProCards,4,0.60,0.17
Commander 2017,Disrupt Decorum,FALSE,1.04,0.91,SpellVault,4,0.52,0.14
