eur;name;id;condition;usd;set;isFoil;idLanguage;count
0.21;Abandoned Sarcophagus;430847;NM;0.25;Hour of Devastation;True;1;2
0.16;Abhorrent Overlord;373661;NM;0.24;Theros;False;1;3
0.02;Abomination of Gudul;386463;NM;0.12;Khans of Tarkir;True;1;1
0.34;Aboshan, Cephalid Emperor;31821;NM;0.36;Odyssey;False;4;1
4.26;Abrupt Decay;425971;NM;3.66;Modern Masters 2017 Edition;False;1;2
4.19;Abrupt Decay;253561;NM;3.55;Return to Ravnica;False;1;2
0.25;Absolute Law;8437;NM;0.25;Urza's Saga;False;1;2
0.04;Absorb Vis;179513;NM;0.13;Conflux;True;1;1
0.02;Abstruse Interference;407550;NM;0.12;Oath of the Gatewatch;True;4;1
0.13;Abundant Growth;413698;NM;0.16;Eternal Masters;True;1;1
0.17;Abyssal Horror;13111;NM;0.31;Seventh Edition;False;4;1
0.29;Abyssal Hunter;3272;NM;0.33;Mirage;False;4;1
0.29;Abyssal Hunter;3272;NM;0.33;Mirage;False;1;1
0.19;Abzan Charm;386467;NM;0.22;Khans of Tarkir;False;1;1
0.07;Abzan Falconer;386468;NM;0.19;Khans of Tarkir;False;1;1
0.07;Abzan Falconer;386468;NM;0.19;Khans of Tarkir;False;4;2
0.02;Abzan Guide;386469;NM;0.12;Khans of Tarkir;True;4;1
0.03;Academy Raider;370735;NM;0.13;Magic 2014 Core Set;True;1;1
21.82;Academy Rector;15138;NM;29.99;Urza's Destiny;False;1;1
10.84;Academy Ruins;116725;NM;19.24;Time Spiral;False;4;2
0.18;Accelerate;29857;NM;0.17;Torment;True;4;1
0.02;Acceptable Losses;30692;NM;0.13;Odyssey;True;1;1
0.01;Accomplished Automaton;417764;NM;0.1;Kaladesh;False;4;7
0.19;Accumulated Knowledge;21285;NM;0.19;Nemesis;False;4;3
0.04;Accursed Horde;430745;NM;0.18;Hour of Devastation;False;1;1
;Acidic Slime;1000439;NM;;Friday Night Magic;True;4;1
0.2;Acidic Slime;189880;NM;0.2;Magic 2010;False;1;4
0.18;Acidic Slime;207333;NM;0.18;Magic 2011;False;1;2
0.13;Acidic Slime;226906;NM;0.2;Magic 2012;False;4;1
0.13;Acidic Slime;226906;NM;0.2;Magic 2012;False;1;2
0.02;Acolyte of Xathrid;190579;NM;0.13;Magic 2010;True;1;1
0.42;Acorn Catapult;233197;NM;0.75;Commander;False;1;1
0.14;Acorn Harvest;29873;NM;0.18;Torment;True;1;1
0.6;Acquire;51088;NM;1.89;Fifth Dawn;True;1;1
0.6;Acquire;51088;NM;1.89;Fifth Dawn;False;4;1
0.05;Acrobatic Maneuver;417574;NM;0.12;Kaladesh;False;4;5
0.36;Act of Authority;376238;NM;0.53;Commander 2013;False;1;1
0.02;Act of Heroism;430690;NM;0.11;Hour of Devastation;False;1;1
0.02;Act of Treason;205072;NM;0.13;Magic 2011;True;1;2
0.11;Act on Impulse;383176;NM;0.18;Magic 2015 Core Set;True;4;1
4.19;Ad Nauseam;174915;NM;7.97;Shards of Alara;False;6;4
3.01;Adaptive Automaton;220147;NM;5.39;Magic 2012;True;1;2
0.03;Adaptive Snapjaw;366290;NM;0.12;Gatecrash;True;1;1
0.64;Adarkar Valkyrie;121196;NM;0.99;Coldsnap;False;2;1
0.64;Adarkar Valkyrie;121196;NM;0.99;Coldsnap;True;1;1
3.89;Adarkar Wastes;2750;NM;4.95;Ice Age;False;1;1
3.89;Adarkar Wastes;2750;NM;4.95;Ice Age;False;4;1
3.05;Adarkar Wastes;4175;NM;4.87;Fifth Edition;False;6;1
1.12;Admiral Beckett Brass;435373;NM;1.14;Ixalan;False;1;1
0.5;Adorned Pouncer;430691;NM;0.91;Hour of Devastation;False;1;1
44.19;Adun Oakenshield;1642;NM;34.99;Legends;False;1;1
0.1;Advanced Stitchwing;414341;NM;0.18;Eldritch Moon;True;1;1
0.28;Advent of the Wurm;425972;NM;0.25;Modern Masters 2017 Edition;False;1;1
0.1;Adventuring Gear;178135;NM;0.14;Zendikar;True;1;1
0.34;Aegis Angel;220086;NM;0.35;Magic 2012;False;1;1
0.34;Aegis Angel;220086;NM;0.35;Magic 2012;True;1;1
0.34;Aegis Angel;220086;NM;0.35;Magic 2012;False;4;1
0.03;Aegis Automaton;423808;NM;0.11;Aether Revolt;False;4;2
0.54;Aegis of Honor;29922;NM;0.69;Odyssey;False;1;2
1.23;Aegis of the Gods;380364;NM;1.43;Journey into Nyx;False;4;1
0.03;Aerial Guide;430718;NM;0.11;Hour of Devastation;False;1;1
0.03;Aerial Guide;430718;NM;0.11;Hour of Devastation;False;4;1
0.02;Aerial Predation;289227;NM;0.12;Return to Ravnica;False;1;13
0.02;Aerial Predation;289227;NM;0.12;Return to Ravnica;False;4;5
0.08;Aerial Responder;417575;NM;0.2;Kaladesh;False;4;2
0.05;Aerie Mystics;153946;NM;0.17;Conflux;True;1;1
0.07;Aerie Ouphes;153427;NM;0.13;Eventide;True;1;1
0.03;Aeronaut Admiral;423669;NM;0.19;Aether Revolt;False;4;1
0.06;Aether Adept;205020;NM;0.13;Magic 2011;True;1;1
0.06;Aether Adept;205020;NM;0.13;Magic 2011;True;4;1
0.04;Aether Chaser;423743;NM;0.13;Aether Revolt;False;4;2
0.04;Aether Chaser;423743;NM;0.13;Aether Revolt;True;1;1
0.02;Aether Herder;423769;NM;0.12;Aether Revolt;False;4;3
0.88;Aether Hub;417815;NM;1.34;Kaladesh;False;1;1
0.03;Aether Inspector;423670;NM;0.12;Aether Revolt;False;4;2
0.03;Aether Inspector;423670;NM;0.12;Aether Revolt;False;1;1
0.1;Aether Meltdown;417609;NM;0.2;Kaladesh;False;4;1
0.03;Aether Poisoner;423718;NM;0.13;Aether Revolt;False;4;2
0.03;Aether Poisoner;423718;NM;0.13;Aether Revolt;True;1;1
0.21;Aether Rift;23194;NM;0.35;Invasion;False;4;1
0.15;Aether Searcher;382207;NM;0.25;Conspiracy;False;1;1
0.04;Aether Theorist;417610;NM;0.12;Kaladesh;False;4;2
0.02;Aether Tradewinds;417611;NM;0.11;Kaladesh;False;4;6
0.03;Aetherborn Marauder;417644;NM;0.18;Kaladesh;False;4;2
0.44;Aetherflux Reservoir;417765;NM;0.69;Kaladesh;True;1;2
0.43;Aetherling;368961;NM;0.33;Dragon's Maze;False;1;1
0.09;Aethermage's Touch;425973;NM;0.25;Modern Masters 2017 Edition;False;1;1
0.15;Aetherplasm;96924;NM;0.25;Guildpact;False;4;1
0.05;Aethersnipe;397746;NM;0.13;Modern Masters 2015 Edition;True;1;1
0.05;Aethersnipe;145817;NM;0.13;Lorwyn;True;4;1
0.05;Aethersnipe;145817;NM;0.13;Lorwyn;True;1;1
0.42;Aetherspouts;383178;NM;0.44;Magic 2015 Core Set;False;4;1
0.09;Aethersquall Ancient;417612;NM;0.25;Kaladesh;False;4;1
0.04;Aetherstream Leopard;423770;NM;0.12;Aether Revolt;False;4;2
0.04;Aetherstream Leopard;423770;NM;0.12;Aether Revolt;False;1;1
0.04;Aethertorch Renegade;417679;NM;0.18;Kaladesh;False;4;1
0.97;Aetherworks Marvel;417766;NM;0.49;Kaladesh;True;1;2
0.36;Afiya Grove;3374;NM;0.49;Mirage;False;5;1
