set;name;foil;ck;mkm;available;profit;profitpct
Planeshift;Skyship Weatherlight;FALSE;0,67;42,75;2;42,08;62,80597015
Planeshift;Skyship Weatherlight;FALSE;0,67;42,75;2;42,08;62,80597015
Planeshift;Tahngarth, Talruum Hero;FALSE;1,09;62,99;2;61,9;56,78899083
Planeshift;Tahngarth, Talruum Hero;FALSE;1,09;62,99;2;61,9;56,78899083
Limited Edition Alpha;Pirate Ship;FALSE;126,98;1999,8;1;1872,82;14,74893684
Invasion;Desperate Research;TRUE;1,26;11,66;2;10,4;8,253968254
Battle Royale Box Set;Giant Growth;FALSE;0,21;1,8;9;1,59;7,571428571
Planeshift;Tahngarth, Talruum Hero;TRUE;7,61;62,99;1;55,38;7,277266754
Planeshift;Tahngarth, Talruum Hero;TRUE;7,61;62,99;1;55,38;7,277266754
Conspiracy: Take the Crown;Kaya, Ghost Assassin;FALSE;11;79,2;6;68,2;6,2
Conspiracy: Take the Crown;Kaya, Ghost Assassin;FALSE;11;79,2;6;68,2;6,2
Seventh Edition;Shivan Dragon;TRUE;12,69;89,1;4;76,41;6,021276596
Seventh Edition;Gang of Elk;TRUE;0,41;2,7;1;2,29;5,585365854
Battle Royale Box Set;Llanowar Elves;FALSE;0,33;2,03;1;1,7;5,151515152
Magic 2013;Clock of Omens;TRUE;1,26;6,26;2;5;3,968253968
Archenemy;All in Good Time;FALSE;11,84;58,5;5;46,66;3,940878378
Planeshift;Ertai, the Corrupted;TRUE;13,54;62,99;3;49,45;3,652141802
Planeshift;Ertai, the Corrupted;TRUE;13,54;62,99;3;49,45;3,652141802
Archenemy;Tooth, Claw, and Tail;FALSE;11,84;54;4;42,16;3,560810811
Battle Royale Box Set;River Boa;FALSE;0,3;1,34;5;1,04;3,466666667
Torment;Krosan Restorer;TRUE;3,8;16,64;6;12,84;3,378947368
Battle Royale Box Set;Abyssal Specter;FALSE;0,21;0,9;5;0,69;3,285714286
Judgment;Dwarven Bloodboiler;TRUE;2,11;9;1;6,89;3,265402844
Battle Royale Box Set;Raging Goblin;FALSE;0,21;0,89;20;0,68;3,238095238
Planeshift;Skyship Weatherlight;TRUE;10,15;42,75;5;32,6;3,21182266
Planeshift;Skyship Weatherlight;TRUE;10,15;42,75;5;32,6;3,21182266
Urza's Legacy;Shivan Phoenix;TRUE;3,38;13,49;1;10,11;2,99112426
Battle Royale Box Set;Azure Drake;FALSE;0,21;0,72;16;0,51;2,428571429
Starter 1999;Champion Lancer;FALSE;1,52;5,18;1;3,66;2,407894737
Portal;Armored Pegasus;FALSE;0,21;0,68;2;0,47;2,238095238
Judgment;Filth;TRUE;5,07;16,2;3;11,13;2,195266272
Starter 1999;Whiptail Wurm;FALSE;0,41;1,26;3;0,85;2,073170732
The Dark;Leviathan;FALSE;0,58;1,78;3;1,2;2,068965517
Portal;Forked Lightning;FALSE;0,58;1,74;3;1,16;2
Unlimited Edition;Water Elemental;FALSE;0,21;0,63;1;0,42;2
Starter 1999;Goblin Lore;FALSE;0,3;0,89;2;0,59;1,966666667
Starter 1999;Natural Spring;FALSE;0,21;0,62;11;0,41;1,952380952
Duel Decks: Jace vs. Chandra;Chandra Nalaar;FALSE;3,38;9,89;1;6,51;1,926035503
Antiquities;Urza's Tower;FALSE;5,92;16,92;1;11;1,858108108
Antiquities;Urza's Tower;FALSE;5,92;16,92;1;11;1,858108108
Antiquities;Urza's Tower;FALSE;5,92;16,92;1;11;1,858108108
Antiquities;Urza's Tower;FALSE;5,92;16,92;1;11;1,858108108
Shadows over Innistrad;Pieces of the Puzzle;TRUE;1,26;3,56;1;2,3;1,825396825
Urza's Legacy;Thran Lens;TRUE;2,53;7,1;1;4,57;1,806324111
Planechase;Llanowar;FALSE;0,5;1,34;20;0,84;1,68
Planechase;Turri Island;FALSE;0,67;1,79;19;1,12;1,671641791
Seventh Edition;Bereavement;TRUE;0,67;1,79;2;1,12;1,671641791
The Dark;Goblin Wizard;FALSE;16,92;45;2;28,08;1,659574468
Urza's Legacy;Unearth;TRUE;11,84;31,46;3;19,62;1,657094595
Unhinged;"""Ach! Hans, Run!""";TRUE;13,54;35,96;4;22,42;1,655834564
Archenemy;My Crushing Masterstroke;FALSE;7,61;19,8;3;12,19;1,601839685
Seventh Edition;Mountain;TRUE;0,84;2,16;1;1,32;1,571428571
Seventh Edition;Mountain;TRUE;0,84;2,16;1;1,32;1,571428571
Seventh Edition;Mountain;TRUE;0,84;2,16;1;1,32;1,571428571
Seventh Edition;Mountain;TRUE;0,84;2,16;1;1,32;1,571428571
Starter 1999;Dark Offering;FALSE;0,21;0,54;9;0,33;1,571428571
Starter 1999;Veteran Cavalier;FALSE;0,21;0,54;2;0,33;1,571428571
Ninth Edition;Index;FALSE;0,3;0,77;2;0,47;1,566666667
Unlimited Edition;Wall of Water;FALSE;0,21;0,53;1;0,32;1,523809524
Starter 1999;Denizen of the Deep;FALSE;1,26;3,11;2;1,85;1,468253968
Portal;Charging Rhino;FALSE;0,33;0,81;2;0,48;1,454545455
Starter 1999;Owl Familiar;FALSE;0,33;0,81;1;0,48;1,454545455
Unlimited Edition;Wall of Swords;FALSE;0,29;0,71;1;0,42;1,448275862
Seventh Edition;Mana Clash;TRUE;3,38;8,09;2;4,71;1,393491124
Seventh Edition;Stone Rain;TRUE;7,61;17,99;1;10,38;1,363994744
Ninth Edition;Biorhythm;TRUE;5,07;11,69;6;6,62;1,305719921
Unlimited Edition;Rod of Ruin;FALSE;0,3;0,68;1;0,38;1,266666667
Eighth Edition;Shivan Dragon;TRUE;2,95;6,65;4;3,7;1,254237288
Invasion;Coalition Victory;TRUE;3,8;8,55;3;4,75;1,25
